date,year,data_type,cut,loc,rep,blk,row,rng,plant_no,name,plant_id,plant_name,check,plot,value,id_by_plot,id_by_plant_aug
05_16_17,2017,VIG,4,ALF16,1,4,5,8,1,OTTM,8_5_1,ALF16_8_5_1_OTTM,Test,8_5,0.4091,ALF16_8_5_OTTM,ALF16_8_5_1_OTTM
05_16_17,2017,VIG,4,ALF16,1,4,6,8,6,CASIA,8_6_6,ALF16_8_6_6_CASIA,Test,8_6,0.4091,ALF16_8_6_CASIA,ALF16_8_6_6_CASIA
05_16_17,2017,VIG,4,ALF16,2,4,8,8,3,SIBR,8_8_3,ALF16_8_8_3_SIBR,Test,8_8,0.4091,ALF16_8_8_SIBR,ALF16_8_8_3_SIBR
07_04_18,2018,VIG,8,ALF16,2,1,7,1,6,CASIA,1_7_6,ALF16_1_7_6_CASIA,Test,1_7,0.4286,ALF16_1_7_CASIA,ALF16_1_7_6_CASIA
07_04_18,2018,VIG,8,ALF16,3,2,17,3,3,SIBR,3_17_3,ALF16_3_17_3_SIBR,Test,3_17,0.4286,ALF16_3_17_SIBR,ALF16_3_17_3_SIBR
07_04_18,2018,VIG,8,ALF16,2,2,10,4,4,SIBR,4_10_4,ALF16_4_10_4_SIBR,Test,4_10,0.4286,ALF16_4_10_SIBR,ALF16_4_10_4_SIBR
07_04_18,2018,VIG,8,ALF16,2,2,9,4,6,OTTM,4_9_6,ALF16_4_9_6_OTTM,Test,4_9,0.4286,ALF16_4_9_OTTM,ALF16_4_9_6_OTTM
05_16_17,2017,VIG,4,ALF16,1,1,1,1,5,OTTM,1_1_5,ALF16_1_1_5_OTTM,Test,1_1,0.45,ALF16_1_1_OTTM,ALF16_1_1_5_OTTM
08_17_17,2017,VIG,6,ALF16,1,1,1,1,5,OTTM,1_1_5,ALF16_1_1_5_OTTM,Test,1_1,0.45,ALF16_1_1_OTTM,ALF16_1_1_5_OTTM
08_17_17,2017,VIG,6,ALF16,2,1,10,1,1,OTTM,1_10_1,ALF16_1_10_1_OTTM,Test,1_10,0.45,ALF16_1_10_OTTM,ALF16_1_10_1_OTTM
05_16_17,2017,VIG,4,ALF16,2,1,10,1,3,OTTM,1_10_3,ALF16_1_10_3_OTTM,Test,1_10,0.45,ALF16_1_10_OTTM,ALF16_1_10_3_OTTM
10_04_17,2017,VIG,7,ALF16,2,1,11,1,3,SIBR,1_11_3,ALF16_1_11_3_SIBR,Test,1_11,0.45,ALF16_1_11_SIBR,ALF16_1_11_3_SIBR
08_17_17,2017,VIG,6,ALF16,3,1,18,1,4,CASIA,1_18_4,ALF16_1_18_4_CASIA,Test,1_18,0.45,ALF16_1_18_CASIA,ALF16_1_18_4_CASIA
