date,data_type,cut,Loc,rep,blk,row,rng,plant_no,name,plant_id,plant_names,plot,value,id_by_plot,id_by_plant_aug
09_22_19,HGT,5,ALF16,1,1,4,1,4,EURO,1_4_4,ALF16_1_4_4_EURO,1_4,37.5,ALF16_1_4_EURO,ALF16_1_4_4_EURO
09_22_19,HGT,5,ALF16,1,1,4,1,5,EURO,1_4_5,ALF16_1_4_5_EURO,1_4,22.5,ALF16_1_4_EURO,ALF16_1_4_5_EURO
09_22_19,HGT,5,ALF16,1,1,4,1,6,EURO,1_4_6,ALF16_1_4_6_EURO,1_4,NA,ALF16_1_4_EURO,ALF16_1_4_6_EURO
07_12_17,HGT,1,ALF16,1,1,5,1,1,SIBR,1_5_1,ALF16_1_5_1_SIBR,1_5,55,ALF16_1_5_SIBR,ALF16_1_5_1_SIBR
07_12_17,HGT,1,ALF16,1,1,5,1,2,SIBR,1_5_2,ALF16_1_5_2_SIBR,1_5,45,ALF16_1_5_SIBR,ALF16_1_5_2_SIBR
07_12_17,HGT,1,ALF16,1,1,5,1,3,SIBR,1_5_3,ALF16_1_5_3_SIBR,1_5,30,ALF16_1_5_SIBR,ALF16_1_5_3_SIBR
07_12_17,HGT,1,ALF16,1,1,5,1,4,SIBR,1_5_4,ALF16_1_5_4_SIBR,1_5,55,ALF16_1_5_SIBR,ALF16_1_5_4_SIBR
07_12_17,HGT,1,ALF16,1,1,5,1,5,SIBR,1_5_5,ALF16_1_5_5_SIBR,1_5,30,ALF16_1_5_SIBR,ALF16_1_5_5_SIBR
07_12_17,HGT,1,ALF16,1,1,5,1,6,SIBR,1_5_6,ALF16_1_5_6_SIBR,1_5,50,ALF16_1_5_SIBR,ALF16_1_5_6_SIBR
08_18_17,HGT,2,ALF16,1,1,5,1,1,SIBR,1_5_1,ALF16_1_5_1_SIBR,1_5,45,ALF16_1_5_SIBR,ALF16_1_5_1_SIBR
08_18_17,HGT,2,ALF16,1,1,5,1,2,SIBR,1_5_2,ALF16_1_5_2_SIBR,1_5,47.5,ALF16_1_5_SIBR,ALF16_1_5_2_SIBR
08_18_17,HGT,2,ALF16,1,1,5,1,3,SIBR,1_5_3,ALF16_1_5_3_SIBR,1_5,25,ALF16_1_5_SIBR,ALF16_1_5_3_SIBR
08_18_17,HGT,2,ALF16,1,1,5,1,4,SIBR,1_5_4,ALF16_1_5_4_SIBR,1_5,35,ALF16_1_5_SIBR,ALF16_1_5_4_SIBR
08_18_17,HGT,2,ALF16,1,1,5,1,5,SIBR,1_5_5,ALF16_1_5_5_SIBR,1_5,30,ALF16_1_5_SIBR,ALF16_1_5_5_SIBR
08_18_17,HGT,2,ALF16,1,1,5,1,6,SIBR,1_5_6,ALF16_1_5_6_SIBR,1_5,45,ALF16_1_5_SIBR,ALF16_1_5_6_SIBR
10_05_17,HGT,3,ALF16,1,1,5,1,1,SIBR,1_5_1,ALF16_1_5_1_SIBR,1_5,15,ALF16_1_5_SIBR,ALF16_1_5_1_SIBR
10_05_17,HGT,3,ALF16,1,1,5,1,2,SIBR,1_5_2,ALF16_1_5_2_SIBR,1_5,15,ALF16_1_5_SIBR,ALF16_1_5_2_SIBR
10_05_17,HGT,3,ALF16,1,1,5,1,3,SIBR,1_5_3,ALF16_1_5_3_SIBR,1_5,20,ALF16_1_5_SIBR,ALF16_1_5_3_SIBR
10_05_17,HGT,3,ALF16,1,1,5,1,4,SIBR,1_5_4,ALF16_1_5_4_SIBR,1_5,22.5,ALF16_1_5_SIBR,ALF16_1_5_4_SIBR
10_05_17,HGT,3,ALF16,1,1,5,1,5,SIBR,1_5_5,ALF16_1_5_5_SIBR,1_5,15,ALF16_1_5_SIBR,ALF16_1_5_5_SIBR
10_05_17,HGT,3,ALF16,1,1,5,1,6,SIBR,1_5_6,ALF16_1_5_6_SIBR,1_5,20,ALF16_1_5_SIBR,ALF16_1_5_6_SIBR
10_31_18,HGT,4,ALF16,1,1,5,1,1,SIBR,1_5_1,ALF16_1_5_1_SIBR,1_5,5,ALF16_1_5_SIBR,ALF16_1_5_1_SIBR
10_31_18,HGT,4,ALF16,1,1,5,1,2,SIBR,1_5_2,ALF16_1_5_2_SIBR,1_5,2.5,ALF16_1_5_SIBR,ALF16_1_5_2_SIBR
10_31_18,HGT,4,ALF16,1,1,5,1,3,SIBR,1_5_3,ALF16_1_5_3_SIBR,1_5,NA,ALF16_1_5_SIBR,ALF16_1_5_3_SIBR
10_31_18,HGT,4,ALF16,1,1,5,1,4,SIBR,1_5_4,ALF16_1_5_4_SIBR,1_5,5,ALF16_1_5_SIBR,ALF16_1_5_4_SIBR
10_31_18,HGT,4,ALF16,1,1,5,1,5,SIBR,1_5_5,ALF16_1_5_5_SIBR,1_5,10,ALF16_1_5_SIBR,ALF16_1_5_5_SIBR
10_31_18,HGT,4,ALF16,1,1,5,1,6,SIBR,1_5_6,ALF16_1_5_6_SIBR,1_5,5,ALF16_1_5_SIBR,ALF16_1_5_6_SIBR
09_22_19,HGT,5,ALF16,1,1,5,1,1,SIBR,1_5_1,ALF16_1_5_1_SIBR,1_5,40,ALF16_1_5_SIBR,ALF16_1_5_1_SIBR
09_22_19,HGT,5,ALF16,1,1,5,1,2,SIBR,1_5_2,ALF16_1_5_2_SIBR,1_5,35,ALF16_1_5_SIBR,ALF16_1_5_2_SIBR
09_22_19,HGT,5,ALF16,1,1,5,1,3,SIBR,1_5_3,ALF16_1_5_3_SIBR,1_5,NA,ALF16_1_5_SIBR,ALF16_1_5_3_SIBR
09_22_19,HGT,5,ALF16,1,1,5,1,4,SIBR,1_5_4,ALF16_1_5_4_SIBR,1_5,NA,ALF16_1_5_SIBR,ALF16_1_5_4_SIBR
09_22_19,HGT,5,ALF16,1,1,5,1,5,SIBR,1_5_5,ALF16_1_5_5_SIBR,1_5,32.5,ALF16_1_5_SIBR,ALF16_1_5_5_SIBR
09_22_19,HGT,5,ALF16,1,1,5,1,6,SIBR,1_5_6,ALF16_1_5_6_SIBR,1_5,45,ALF16_1_5_SIBR,ALF16_1_5_6_SIBR
07_12_17,HGT,1,ALF16,1,1,6,1,1,EURO,1_6_1,ALF16_1_6_1_EURO,1_6,55,ALF16_1_6_EURO,ALF16_1_6_1_EURO
07_12_17,HGT,1,ALF16,1,1,6,1,2,EURO,1_6_2,ALF16_1_6_2_EURO,1_6,NA,ALF16_1_6_EURO,ALF16_1_6_2_EURO
